epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.3183,1.01594,0.65661,1.13584,0.96533,0.95381,0.99007,0.78657,0.79028,0.42193,0.96246,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429
2,49.5005,1.06082,0.69182,1.14961,0.94734,0.95571,0.9846,0.75025,0.88488,0.47331,0.9962,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568
3,69.2899,1.12095,0.73962,1.17602,0.92977,0.91073,0.96724,0.69448,0.99183,0.57133,1.07039,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508
4,88.8293,1.2,0.83875,1.22234,0.91475,0.87395,0.94608,0.65221,1.07337,0.66275,1.12535,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,107.863,1.222,0.86465,1.23451,0.90268,0.87456,0.94292,0.63406,1.13989,0.68025,1.16207,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,126.962,1.21002,0.85179,1.22655,0.88785,0.85898,0.92988,0.63077,1.11583,0.70625,1.15827,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,145.962,1.20998,0.86022,1.2346,0.90631,0.85198,0.9316,0.6095,1.19343,0.71991,1.20084,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,164.598,1.22222,0.87197,1.23051,0.89629,0.84117,0.92956,0.61761,1.13549,0.72927,1.16452,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,183.797,1.21027,0.8506,1.23928,0.88045,0.85813,0.92595,0.60928,1.18339,0.7312,1.19229,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,203.154,1.21086,0.86368,1.23253,0.88775,0.84855,0.92466,0.61467,1.17285,0.72241,1.17582,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,222.604,1.23547,0.88592,1.24377,0.91228,0.83827,0.92535,0.60754,1.19101,0.72989,1.18593,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,243.678,1.20118,0.85389,1.22227,0.89759,0.83588,0.92051,0.59483,1.20879,0.72644,1.2028,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,262.407,1.20106,0.85135,1.23008,0.88395,0.82933,0.90573,0.59083,1.20873,0.74922,1.22149,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,282.15,1.22314,0.87488,1.23605,0.85442,0.8345,0.9088,0.59091,1.19247,0.74722,1.20443,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,302.59,1.19875,0.8541,1.22569,0.86502,0.83356,0.90794,0.5922,1.21901,0.75008,1.21381,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,321.156,1.19861,0.83475,1.22097,0.87686,0.81555,0.90854,0.57693,1.25105,0.76237,1.21777,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,339.934,1.22588,0.86517,1.23219,0.89417,0.80918,0.91228,0.59476,1.21032,0.75213,1.20621,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,358.738,1.20253,0.8323,1.21528,0.88176,0.83404,0.91912,0.60549,1.19238,0.7158,1.20443,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,377.578,1.18704,0.82747,1.21359,0.86596,0.81834,0.90529,0.57603,1.25717,0.77881,1.2487,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,396.734,1.19665,0.8431,1.22468,0.86658,0.84515,0.9017,0.57597,1.23296,0.79458,1.23553,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,415.437,1.20795,0.83506,1.22165,0.87923,0.81985,0.90974,0.58881,1.22205,0.75164,1.23627,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,434.643,1.18498,0.82269,1.2183,0.88931,0.81664,0.91142,0.59851,1.20741,0.75559,1.20559,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,453.965,1.16692,0.81114,1.19485,0.87865,0.83809,0.91818,0.60181,1.21571,0.72605,1.21269,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,473.014,1.18824,0.84244,1.21446,0.87798,0.85236,0.9268,0.60378,1.19468,0.71731,1.20757,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,491.743,1.17135,0.80977,1.20444,0.87629,0.84329,0.91954,0.59902,1.21531,0.72757,1.21287,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,510.504,1.16818,0.8125,1.20231,0.87012,0.82474,0.90673,0.58474,1.22654,0.76875,1.22764,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,528.908,1.19842,0.81752,1.20877,0.87045,0.82794,0.90481,0.57306,1.24168,0.77362,1.23356,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,547.504,1.18029,0.82861,1.21155,0.86162,0.82137,0.88731,0.55684,1.31,0.81726,1.27743,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,566.159,1.16879,0.81852,1.19871,0.88917,0.84223,0.9163,0.59403,1.21693,0.72842,1.21459,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,584.868,1.15685,0.80295,1.19191,0.87022,0.83811,0.90428,0.58796,1.23283,0.73458,1.21928,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,603.612,1.16186,0.80209,1.19284,0.89285,0.82237,0.90812,0.59307,1.23511,0.757,1.23258,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,622.129,1.16564,0.79089,1.19869,0.88699,0.84178,0.90682,0.59055,1.23317,0.7397,1.21947,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,640.46,1.16373,0.81002,1.20195,0.86348,0.8251,0.90369,0.58361,1.234,0.73602,1.22855,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,659.304,1.1586,0.7907,1.18682,0.8891,0.82242,0.90332,0.57645,1.27273,0.76926,1.25717,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,678.252,1.15504,0.7878,1.19014,0.88606,0.81424,0.90862,0.58083,1.24656,0.75018,1.23132,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,696.721,1.15174,0.79808,1.19454,0.87169,0.83505,0.90912,0.58722,1.23925,0.74492,1.23112,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,715.446,1.162,0.78579,1.19706,0.89937,0.80752,0.90692,0.59098,1.23434,0.73829,1.22569,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,734.64,1.13037,0.79494,1.18211,0.87738,0.79724,0.89629,0.56748,1.27189,0.77872,1.25068,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,753.147,1.15024,0.78735,1.19505,0.87296,0.82432,0.90803,0.58593,1.22941,0.73537,1.22895,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
