epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.884,1.68138,2.74204,1.58638,0.46584,0.40444,0.3834,0.1882,1.50683,4.96239,1.39679,0.00166512,0.00166512,0.0683627
2,247.213,1.63317,1.93271,1.49053,0.52939,0.42153,0.42663,0.20592,1.53138,3.20396,1.38238,0.00332236,0.00332236,0.0366866
3,369.709,1.68642,1.90802,1.51588,0.49804,0.44522,0.42914,0.19689,1.58727,8.04675,1.38131,0.00497018,0.00497018,0.00500113
4,491.169,1.73255,1.93598,1.56533,0.51417,0.42865,0.43093,0.20339,1.57818,2.7371,1.39511,0.00495757,0.00495757,0.00495757
5,609.303,1.68775,1.82737,1.53369,0.56303,0.49044,0.51073,0.25232,1.46795,4.36861,1.31271,0.00494343,0.00494343,0.00494343
6,727.25,1.65637,1.74423,1.50334,0.60908,0.5013,0.54475,0.27425,1.45243,2.89479,1.30764,0.00492929,0.00492929,0.00492929
7,845.067,1.6354,1.69327,1.49481,0.63907,0.54452,0.58973,0.30331,1.42997,3.12219,1.29546,0.00491514,0.00491514,0.00491514
8,963.187,1.60978,1.64016,1.47606,0.64296,0.55373,0.60724,0.31518,1.39086,2.8603,1.25784,0.004901,0.004901,0.004901
9,1081,1.59277,1.59563,1.46839,0.65668,0.56064,0.61688,0.32182,1.37596,2.51173,1.25153,0.00488686,0.00488686,0.00488686
10,1198.97,1.57374,1.56053,1.44992,0.69125,0.57457,0.63925,0.33578,1.37244,2.45976,1.23839,0.00487271,0.00487271,0.00487271
11,1316.71,1.56304,1.52077,1.4373,0.6651,0.57417,0.62245,0.32631,1.40064,4.61279,1.27205,0.00485857,0.00485857,0.00485857
12,1434.75,1.55803,1.49559,1.43735,0.67155,0.61591,0.66277,0.3544,1.34741,2.54904,1.23007,0.00484443,0.00484443,0.00484443
13,1552.48,1.53757,1.45653,1.42034,0.70021,0.59324,0.66779,0.36252,1.33264,2.20269,1.21785,0.00483029,0.00483029,0.00483029
14,1670.3,1.52823,1.44021,1.41586,0.71999,0.61224,0.68927,0.37735,1.30223,2.21227,1.19808,0.00481614,0.00481614,0.00481614
15,1787.76,1.51744,1.42546,1.40993,0.71031,0.63867,0.70159,0.38662,1.3105,2.13568,1.18722,0.004802,0.004802,0.004802
16,1905.91,1.51498,1.4011,1.40001,0.74181,0.61142,0.7025,0.39259,1.28984,2.1635,1.18611,0.00478786,0.00478786,0.00478786
17,2025.37,1.50604,1.37596,1.39547,0.72335,0.63773,0.71023,0.39654,1.28401,2.32538,1.18325,0.00477371,0.00477371,0.00477371
18,2149.06,1.49619,1.37285,1.39387,0.74079,0.64511,0.7246,0.40793,1.2628,1.73492,1.16321,0.00475957,0.00475957,0.00475957
19,2272.69,1.49344,1.35851,1.38149,0.73193,0.64367,0.72107,0.40546,1.27281,2.31582,1.17143,0.00474543,0.00474543,0.00474543
20,2395.99,1.48006,1.32571,1.37412,0.74331,0.65482,0.73416,0.41719,1.26048,1.73737,1.15869,0.00473129,0.00473129,0.00473129
21,2519.58,1.47842,1.30986,1.37062,0.74983,0.64371,0.73254,0.41475,1.26505,2.03286,1.15769,0.00471714,0.00471714,0.00471714
