epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.3989,1.05665,0.67527,1.16105,0.95626,0.96229,0.98928,0.77517,0.81833,0.4195,0.9747,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429
2,49.8827,1.08467,0.70506,1.1625,0.96409,0.93949,0.98531,0.76377,0.85723,0.45163,0.9951,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568
3,69.2,1.12955,0.7556,1.18861,0.92869,0.90749,0.96995,0.69004,0.99481,0.57488,1.09352,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508
4,87.3829,1.20074,0.83335,1.22628,0.90765,0.89853,0.95274,0.66042,1.06459,0.6138,1.12112,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,106.718,1.22507,0.87753,1.2413,0.89995,0.87908,0.94226,0.63521,1.09573,0.68967,1.15441,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,125.51,1.2293,0.85989,1.24085,0.91157,0.85811,0.9355,0.62605,1.12506,0.70072,1.1586,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,144.341,1.2242,0.86492,1.23415,0.85487,0.87222,0.92495,0.61632,1.13588,0.70252,1.16179,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,163.466,1.21091,0.8765,1.2336,0.90633,0.85945,0.93215,0.62182,1.14472,0.72664,1.17392,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,182.4,1.22364,0.87414,1.2369,0.89998,0.84027,0.9301,0.61947,1.14273,0.70349,1.16889,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,202.933,1.22303,0.8733,1.23698,0.86575,0.87157,0.9247,0.60651,1.1546,0.70539,1.188,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,223.084,1.20185,0.86356,1.22406,0.87445,0.83374,0.91696,0.59397,1.17814,0.73633,1.20014,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,243.445,1.20373,0.85653,1.23164,0.86626,0.82871,0.91794,0.60047,1.18612,0.7485,1.20697,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,263.591,1.21386,0.84547,1.23944,0.87698,0.85126,0.92112,0.60305,1.18403,0.71214,1.1902,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,283.946,1.22536,0.8652,1.23919,0.86854,0.84762,0.92105,0.59744,1.17324,0.73372,1.17894,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,303.188,1.21631,0.85331,1.22654,0.87828,0.8321,0.91783,0.60103,1.16254,0.74547,1.19911,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,323.643,1.21499,0.86495,1.22964,0.87279,0.81882,0.90705,0.59001,1.19918,0.73827,1.20615,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,343.301,1.19727,0.8547,1.22052,0.8808,0.8209,0.91072,0.58265,1.22404,0.75495,1.22757,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,363.699,1.20573,0.85898,1.21764,0.88213,0.81676,0.90596,0.588,1.19942,0.76372,1.19656,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,383.804,1.19584,0.84673,1.2153,0.89329,0.82248,0.92241,0.59287,1.20291,0.74126,1.21394,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,404.215,1.20664,0.84444,1.22221,0.88617,0.82624,0.90269,0.57415,1.22434,0.75555,1.21741,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,424.622,1.19943,0.85367,1.21934,0.87817,0.85605,0.91766,0.58675,1.23778,0.73164,1.22243,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,443.859,1.20509,0.8413,1.2209,0.89434,0.81891,0.91044,0.58559,1.19744,0.7398,1.19346,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,464.039,1.19047,0.81609,1.20969,0.88326,0.81139,0.90297,0.5732,1.23835,0.75816,1.23315,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,484.384,1.18683,0.82486,1.21689,0.88699,0.8297,0.90886,0.57854,1.24131,0.74297,1.23954,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,503.882,1.18637,0.8276,1.21694,0.88414,0.83263,0.91247,0.59418,1.20597,0.7283,1.21284,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,523.307,1.19694,0.81879,1.21537,0.86912,0.80382,0.89427,0.56782,1.23001,0.78517,1.22576,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,543.269,1.18288,0.82378,1.2094,0.8866,0.83602,0.90388,0.57586,1.2228,0.74811,1.22619,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,563.357,1.17666,0.81872,1.21696,0.87256,0.8259,0.90531,0.58767,1.20945,0.71973,1.23547,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,581.362,1.18861,0.81895,1.22163,0.87965,0.83891,0.91758,0.58898,1.22597,0.70815,1.23157,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
