epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.464,1.67744,2.75641,1.58361,0.53113,0.43152,0.42963,0.20712,1.54912,4.89658,1.39586,0.00166512,0.00166512,0.0683627
2,251.665,1.62614,1.94625,1.48292,0.53537,0.42958,0.43306,0.20087,1.5685,2.9583,1.38691,0.00332236,0.00332236,0.0366866
3,373.682,1.69498,1.91471,1.52515,0.45361,0.41077,0.37813,0.1676,1.68693,4.64085,1.50476,0.00497018,0.00497018,0.00500113
4,495.155,1.73763,1.9704,1.5723,0.49903,0.37962,0.39274,0.18444,1.62438,12.4701,1.48089,0.00495757,0.00495757,0.00495757
5,612.481,1.69158,1.83862,1.53578,0.56927,0.48245,0.49095,0.24025,1.50688,4.56055,1.35388,0.00494343,0.00494343,0.00494343
6,729.382,1.66551,1.77009,1.52161,0.59846,0.5167,0.54363,0.26973,1.4968,2.80697,1.3418,0.00492929,0.00492929,0.00492929
7,847.06,1.64184,1.69639,1.49228,0.61329,0.52558,0.56796,0.28763,1.46952,3.16172,1.33318,0.00491514,0.00491514,0.00491514
8,964.511,1.61503,1.64358,1.47723,0.63347,0.53275,0.57924,0.30135,1.44558,2.21298,1.31817,0.004901,0.004901,0.004901
9,1081.98,1.59725,1.60796,1.46907,0.66802,0.54993,0.60671,0.32354,1.41205,2.84609,1.29482,0.00488686,0.00488686,0.00488686
10,1199.58,1.58139,1.56766,1.45225,0.67274,0.56826,0.63202,0.33281,1.40932,3.32301,1.2724,0.00487271,0.00487271,0.00487271
11,1316.61,1.55773,1.52909,1.43511,0.68729,0.60115,0.65855,0.35397,1.37869,2.71612,1.26024,0.00485857,0.00485857,0.00485857
12,1433.5,1.55733,1.49361,1.43686,0.6848,0.57705,0.64867,0.35379,1.38426,2.48332,1.25673,0.00484443,0.00484443,0.00484443
13,1550.99,1.55035,1.47827,1.42882,0.67478,0.60591,0.66237,0.36238,1.38191,1.96456,1.25936,0.00483029,0.00483029,0.00483029
14,1668.51,1.53533,1.43881,1.42106,0.69914,0.61618,0.68099,0.37958,1.3267,1.75509,1.22485,0.00481614,0.00481614,0.00481614
15,1786.29,1.51563,1.43198,1.40989,0.71338,0.62158,0.69149,0.38127,1.32946,2.09957,1.23314,0.004802,0.004802,0.004802
16,1903.71,1.51804,1.39847,1.40598,0.7331,0.63347,0.71609,0.39631,1.32654,2.30019,1.22174,0.00478786,0.00478786,0.00478786
17,2021.21,1.50189,1.39036,1.39673,0.72667,0.62629,0.71002,0.39619,1.31182,2.48681,1.20525,0.00477371,0.00477371,0.00477371
18,2138.54,1.49417,1.36834,1.38865,0.74666,0.64365,0.72395,0.4071,1.29801,2.29984,1.19929,0.00475957,0.00475957,0.00475957
19,2256.17,1.48703,1.34418,1.38326,0.7433,0.64464,0.72473,0.40708,1.28692,1.94725,1.19276,0.00474543,0.00474543,0.00474543
20,2374.01,1.48559,1.33587,1.38017,0.74653,0.64549,0.73467,0.4193,1.28361,1.78602,1.19345,0.00473129,0.00473129,0.00473129
21,2491.62,1.47185,1.31607,1.36903,0.74945,0.65886,0.73871,0.41949,1.27784,1.73777,1.18241,0.00471714,0.00471714,0.00471714
22,2608.98,1.46959,1.30446,1.36556,0.75131,0.668,0.74283,0.42506,1.27951,1.78087,1.18522,0.004703,0.004703,0.004703
